Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,59.869999,61.570000,59.740002,61.169998,60.895233,20980200
2022-01-04,61.959999,65.980003,61.959999,65.739998,65.444710,44691300
2022-01-05,65.519997,67.209999,62.599998,62.740002,62.458187,43578700
2022-01-06,63.169998,63.500000,61.669998,62.869999,62.587597,20650900
2022-01-07,63.810001,63.910000,61.419998,62.270000,61.990295,17136100
2022-01-10,61.520000,62.000000,60.040001,61.070000,60.795685,18980400
2022-01-11,61.250000,61.560001,60.150002,61.459999,61.183929,16463800
2022-01-12,62.470001,62.720001,59.639999,61.029999,60.755863,20215000
2022-01-13,61.450001,63.380001,61.150002,61.770000,61.492538,19283000
2022-01-14,61.099998,61.770000,59.990002,61.099998,60.825550,16180300
2022-01-18,60.130001,60.349998,58.540001,58.790001,58.525928,18299100
2022-01-19,59.310001,59.840000,56.130001,56.240002,55.987381,20576000
2022-01-20,56.020000,57.330002,54.419998,54.650002,54.404526,21554100
2022-01-21,54.520000,54.700001,52.689999,53.279999,53.040676,25692800
2022-01-24,51.400002,52.660000,49.369999,52.639999,52.403549,32931800
2022-01-25,51.599998,52.509998,50.820000,51.900002,51.666874,22164500
2022-01-26,53.570000,53.990002,51.470001,52.349998,52.114853,23174300
2022-01-27,52.849998,53.349998,51.070000,51.450001,51.218895,21357400
2022-01-28,51.250000,51.250000,49.240002,50.240002,50.014332,26732600
2022-01-31,50.500000,52.750000,49.970001,52.730000,52.493149,20255200
2022-02-01,52.849998,54.240002,52.119999,54.070000,53.827126,23169600
2022-02-02,54.919998,55.549999,51.680000,53.500000,53.259689,34371700
2022-02-03,52.599998,54.419998,52.549999,53.110001,52.871441,23751800
2022-02-04,51.619999,51.849998,50.520000,51.290001,51.059616,22794900
2022-02-07,51.490002,52.000000,50.520000,50.709999,50.482220,18046500
2022-02-08,48.740002,49.880001,47.580002,49.459999,49.237835,38629700
2022-02-09,50.310001,51.680000,50.160000,50.720001,50.492176,24290800
2022-02-10,49.730000,51.790001,49.599998,50.340000,50.113884,17017600
2022-02-11,50.639999,50.970001,48.540001,48.830002,48.610664,20183800
2022-02-14,48.869999,49.189999,48.000000,48.400002,48.182598,17549800
2022-02-15,49.360001,49.910000,48.930000,49.669998,49.446892,15238500
2022-02-16,49.430000,50.570000,49.259998,50.430000,50.203476,13865500
2022-02-17,49.810001,49.849998,48.660000,48.820000,48.600708,13482800
2022-02-18,48.919998,49.209999,47.919998,48.599998,48.381695,16615900
2022-02-22,47.779999,47.939999,46.160000,46.770000,46.559917,19620300
2022-02-23,47.259998,48.299999,46.259998,46.380001,46.171669,13667700
2022-02-24,44.150002,46.410000,43.910000,46.349998,46.141804,21003700
2022-02-25,46.349998,47.480000,45.849998,47.430000,47.216953,13465100
2022-02-28,46.240002,47.119999,45.840000,46.720001,46.510143,18226700
2022-03-01,46.020000,46.160000,44.160000,44.520000,44.320023,21534200
2022-03-02,44.680000,46.599998,44.560001,46.320000,46.111938,19006400
2022-03-03,46.209999,46.740002,44.610001,44.900002,44.698318,18956300
2022-03-04,44.029999,44.160000,41.990002,42.400002,42.209545,26534700
2022-03-07,42.290001,42.439999,39.750000,39.830002,39.651093,25949900
2022-03-08,40.840000,42.310001,39.959999,40.200001,40.019428,24145100
2022-03-09,42.259998,42.860001,41.799999,42.279999,42.090084,21309000
2022-03-10,41.410000,42.230000,40.849998,41.849998,41.662014,17991200
2022-03-11,42.080002,42.340000,41.480000,41.509998,41.323544,13617900
2022-03-14,41.740002,42.430000,40.369999,40.830002,40.646603,18914000
2022-03-15,40.830002,42.250000,40.799999,42.130001,41.940762,16051000
2022-03-16,43.000000,44.169998,42.369999,43.849998,43.653030,17014500
2022-03-17,42.919998,43.830002,42.599998,43.660000,43.463890,13909000
2022-03-18,43.230000,45.040001,43.130001,44.820000,44.618679,19834400
2022-03-21,44.279999,44.669998,43.220001,43.610001,43.414112,17903900
2022-03-22,44.240002,45.270000,44.090000,44.560001,44.359844,14703000
2022-03-23,44.000000,44.520000,43.770000,43.779999,43.583347,15142300
2022-03-24,44.049999,44.860001,43.950001,44.349998,44.150787,11106200
2022-03-25,44.279999,44.310001,43.400002,43.650002,43.453934,10351200
2022-03-28,43.900002,44.250000,43.279999,44.220001,44.021374,12175200
2022-03-29,45.410000,46.740002,45.240002,46.259998,46.052208,16784100
2022-03-30,45.639999,46.029999,45.040001,45.220001,45.016880,12818800
2022-03-31,44.840000,44.900002,43.740002,43.740002,43.543530,17335000
2022-04-01,44.160000,44.450001,42.410000,42.959999,42.767033,16791500
2022-04-04,43.270000,43.419998,42.529999,43.180000,42.986046,12593000
2022-04-05,42.959999,43.160000,41.320000,41.419998,41.233948,19853900
2022-04-06,40.790001,41.330002,39.480000,39.500000,39.322571,29254900
2022-04-07,39.290001,39.529999,37.599998,38.720001,38.546078,28297600
2022-04-08,38.349998,40.049999,38.169998,39.349998,39.173248,22086800
2022-04-11,38.810001,41.340000,38.689999,40.330002,40.148849,25015300
2022-04-12,40.610001,40.779999,39.639999,40.040001,39.860149,17212800
2022-04-13,39.619999,40.450001,39.549999,40.220001,40.039341,10897600
2022-04-14,40.150002,40.779999,40.090000,40.130001,39.949745,13315700
2022-04-18,40.130001,40.930000,39.950001,40.630001,40.447498,11798000
2022-04-19,40.810001,42.189999,40.810001,42.080002,41.890987,13852800
2022-04-20,42.250000,43.240002,41.689999,41.720001,41.532604,12989800
2022-04-21,42.759998,43.000000,40.560001,40.709999,40.527138,12544000
2022-04-22,40.459999,40.740002,39.779999,39.840000,39.661049,17718400
2022-04-25,39.349998,39.990002,38.669998,39.820000,39.641136,18704400
2022-04-26,39.220001,39.450001,37.889999,38.040001,37.869133,21679500
2022-04-27,38.290001,39.520000,37.700001,38.660000,38.486347,19827700
2022-04-28,39.349998,39.610001,37.310001,38.750000,38.575943,22795600
2022-04-29,38.810001,39.419998,37.779999,37.910000,37.739716,16737800
2022-05-02,37.669998,38.490002,37.250000,38.450001,38.277290,16119900
2022-05-03,39.320000,40.270000,38.820000,39.939999,39.760593,19132700
2022-05-04,39.599998,41.240002,39.299999,41.169998,40.985069,15813700
2022-05-05,40.320000,40.750000,39.349998,39.950001,39.770554,15317100
2022-05-06,39.790001,40.119999,38.799999,39.580002,39.402218,14684900
2022-05-09,38.980000,40.220001,38.080002,38.259998,38.088142,18508800
2022-05-10,39.389999,39.490002,37.520000,38.700001,38.526169,20206400
2022-05-11,38.779999,39.439999,37.169998,37.270000,37.102592,18050800
2022-05-12,35.459999,36.200001,34.580002,35.560001,35.400272,43172200
2022-05-13,36.180000,38.490002,36.070000,38.209999,38.038368,22997300
2022-05-16,38.009998,38.040001,36.759998,37.099998,36.933350,16512200
2022-05-17,38.029999,38.549999,37.349998,38.099998,37.928860,15505700
2022-05-18,37.500000,37.770000,35.590000,35.830002,35.669060,19255700
2022-05-19,35.380001,36.650002,35.150002,36.119999,35.957752,15545100
2022-05-20,37.009998,37.080002,34.389999,35.400002,35.240990,24408000
2022-05-23,35.930000,36.610001,35.090000,36.000000,35.838295,19959800
2022-05-24,35.529999,35.570000,34.310001,35.209999,35.051842,16717000
2022-05-25,34.900002,36.349998,34.900002,35.980000,35.818386,15409500
2022-05-26,36.380001,37.759998,36.380001,37.419998,37.251915,14568400
2022-05-27,37.799999,38.590000,37.360001,38.570000,38.396748,15684100
2022-05-31,38.610001,38.950001,37.959999,38.680000,38.506256,19857900
2022-06-01,39.009998,39.639999,37.900002,38.270000,38.098099,12190800
2022-06-02,38.400002,39.250000,38.360001,38.869999,38.695404,10735500
2022-06-03,38.090000,38.290001,37.480000,37.610001,37.441063,11670500
2022-06-06,38.349998,38.430000,37.509998,37.830002,37.660076,11029000
2022-06-07,37.220001,38.459999,36.820000,38.369999,38.197651,14517600
2022-06-08,38.340000,38.770000,37.630001,37.689999,37.520702,10210300
2022-06-09,37.480000,37.680000,36.630001,36.650002,36.485374,9306500
2022-06-10,35.730000,36.369999,35.000000,35.009998,34.852737,15875500
2022-06-13,33.860001,34.080002,32.150002,32.279999,32.135002,23202000
2022-06-14,32.669998,33.590000,32.470001,33.200001,33.050873,17891000
2022-06-15,33.360001,34.599998,33.349998,34.180000,34.026470,19116000
2022-06-16,32.849998,32.849998,30.920000,31.420000,31.278868,22783200
2022-06-17,31.450001,32.389999,30.650000,31.879999,31.736801,23649700
2022-06-21,32.830002,33.099998,31.889999,32.639999,32.493389,16627600
2022-06-22,32.189999,33.509998,32.029999,32.830002,32.682533,14974100
2022-06-23,32.919998,33.349998,32.230000,32.990002,32.841816,14410100
2022-06-24,33.110001,35.000000,33.060001,34.820000,34.663597,18401600
2022-06-27,34.990002,35.320000,34.340000,34.630001,34.474449,10443100
